source_list_slug,source_list_id,rank,listed_at,list_item_id,type,title,year,trakt_id,trakt_slug,tmdb_id,imdb_id,tvdb_id,tmdb_detected_type,tmdb_name,tmdb_first_air_date,tmdb_status,tmdb_genres,tmdb_runtime_min,tmdb_network,tmdb_origin_country,tmdb_number_of_seasons,tmdb_number_of_episodes,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,tmdb_original_language,tmdb_error,year_start,decade,network_norm,genres_list,has_tmdb_error
arquivo-dos-desenhos-da-infancia,33771833,77,2026-02-09T18:47:02.000Z,1425675676,show,Chowder,2007,9858,chowder,9907.0,tt1140100,81500.0,tv,Chowder,2007-11-02,Ended,"Animation, Comedy, Kids",11.0,Cartoon Network,US,3.0,93.0,8.2,428,12.1914,en,,2007,2000,Cartoon Network,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,87,2026-02-09T18:49:30.000Z,1425676670,show,Cocoricó,1996,20060,cocorico,20153.0,tt0473573,92961.0,tv,Cocoricó,1996-04-01,Ended,Kids,,TV Cultura,BR,7.0,86.0,6.4,14,1.5585,pt,,1996,1990,TV Cultura,['Kids'],False
arquivo-dos-desenhos-da-infancia,33771833,3,2026-02-09T18:23:43.000Z,1425665532,show,Codename: Kids Next Door,2002,2643,codename-kids-next-door,2660.0,tt0312109,71685.0,tv,Codename: Kids Next Door,2002-12-06,Ended,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy, Kids, Family",11.0,Cartoon Network,US,6.0,139.0,8.2,764,1.2022,en,,2002,2000,Cartoon Network,"['Animation', 'Action & Adventure', 'Comedy', 'Sci-Fi & Fantasy', 'Kids', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,9,2026-02-09T18:25:36.000Z,1425666907,show,Courage the Cowardly Dog,1999,2072,courage-the-cowardly-dog,2085.0,tt0220880,77435.0,tv,Courage the Cowardly Dog,1999-11-12,Ended,"Animation, Family, Sci-Fi & Fantasy, Comedy, Kids",11.0,Cartoon Network,US,4.0,102.0,8.2,1598,27.9636,en,,1999,1990,Cartoon Network,"['Animation', 'Family', 'Sci-Fi & Fantasy', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,47,2026-02-09T18:38:55.000Z,1425671729,show,Cow and Chicken,1997,3588,cow-and-chicken,3611.0,tt0118289,76196.0,tv,Cow and Chicken,1997-09-16,Ended,"Animation, Comedy, Kids",6.0,Cartoon Network,US,4.0,156.0,7.095,494,19.5436,en,,1997,1990,Cartoon Network,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,8,2026-02-09T18:25:12.000Z,1425666699,show,Danny Phantom,2004,2295,danny-phantom,2309.0,tt0366005,78443.0,tv,Danny Phantom,2004-04-03,Ended,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",22.0,Nickelodeon,US,3.0,49.0,8.3,1147,16.4213,en,,2004,2000,Nickelodeon,"['Action & Adventure', 'Animation', 'Comedy', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,86,2026-02-09T18:49:14.000Z,1425676589,show,De Onde Vem?,2001,197386,de-onde-vem,197052.0,tt13096126,259500.0,tv,De Onde Vem?,2001-01-01,Ended,"Family, Animation, Kids",5.0,TV Cultura,BR,1.0,20.0,8.8,2,0.1974,pt,,2001,2000,TV Cultura,"['Family', 'Animation', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,11,2026-02-09T18:26:01.000Z,1425667084,show,Dexter's Laboratory,1996,4205,dexter-s-laboratory,4229.0,tt0115157,77992.0,tv,Dexter's Laboratory,1996-04-28,Ended,"Animation, Comedy, Sci-Fi & Fantasy",7.0,Cartoon Network,US,4.0,220.0,7.659,866,40.5351,en,,1996,1990,Cartoon Network,"['Animation', 'Comedy', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,57,2026-02-09T18:41:42.000Z,1425673193,show,Dinosaurs,1991,3740,dinosaurs,3763.0,tt0101081,76461.0,tv,Dinosaurs,1991-04-26,Ended,"Sci-Fi & Fantasy, Comedy, Family",23.0,ABC,US,4.0,65.0,7.789,1065,32.1632,en,,1991,1990,ABC,"['Sci-Fi & Fantasy', 'Comedy', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,92,2026-02-09T18:50:39.000Z,1425677128,show,Dora the Explorer,2000,78,dora-the-explorer,79.0,tt0235917,74697.0,tv,Dora the Explorer,2000-08-14,Ended,"Action & Adventure, Animation, Family, Kids",30.0,Nickelodeon,US,8.0,177.0,6.2,334,18.707,en,,2000,2000,Nickelodeon,"['Action & Adventure', 'Animation', 'Family', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,48,2026-02-09T18:39:04.000Z,1425671747,show,Doug,1991,383,doug,384.0,tt0101084,72210.0,tv,Doug,1991-08-18,Ended,"Animation, Comedy, Kids",24.0,ABC,US,7.0,166.0,7.2,233,19.7078,en,,1991,1990,ABC,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,26,2026-02-09T18:31:33.000Z,1425669775,show,Dungeons & Dragons,1983,552,dungeons-dragons,553.0,tt0085011,77129.0,tv,Dungeons & Dragons,1983-09-17,Canceled,"Animation, Sci-Fi & Fantasy, Comedy, Action & Adventure, Kids",24.0,CBS,US,3.0,27.0,7.91,255,7.3578,en,,1983,1980,CBS,"['Animation', 'Sci-Fi & Fantasy', 'Comedy', 'Action & Adventure', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,12,2026-02-09T18:26:13.000Z,1425667108,show,"Ed, Edd n Eddy",1999,605,ed-edd-n-eddy,606.0,tt0184111,77466.0,tv,"Ed, Edd n Eddy",1999-01-04,Ended,"Animation, Comedy, Kids, Family",11.0,Cartoon Network,US,6.0,126.0,7.87,780,10.1894,en,,1999,1990,Cartoon Network,"['Animation', 'Comedy', 'Kids', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,27,2026-02-09T18:32:20.000Z,1425669972,show,Felix The Cat,1919,7593,felix-the-cat,101512.0,tt0278192,72820.0,tv,Felix the Cat,1958-10-02,Ended,"Animation, Comedy, Family, Kids, Sci-Fi & Fantasy",8.0,ABC,US,3.0,132.0,7.5,264,1.8571,en,,1958,1950,ABC,"['Animation', 'Comedy', 'Family', 'Kids', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,13,2026-02-09T18:26:30.000Z,1425667139,show,Foster's Home for Imaginary Friends,2004,1708,foster-s-home-for-imaginary-friends,1720.0,tt0419326,79323.0,tv,Foster's Home for Imaginary Friends,2004-08-13,Ended,"Kids, Animation, Family, Sci-Fi & Fantasy, Comedy",30.0,Cartoon Network,US,6.0,79.0,7.8,505,10.7244,en,,2004,2000,Cartoon Network,"['Kids', 'Animation', 'Family', 'Sci-Fi & Fantasy', 'Comedy']",False
arquivo-dos-desenhos-da-infancia,33771833,33,2026-02-09T18:33:52.000Z,1425670376,show,Garfield & Friends,1988,4582,garfield-friends,4606.0,tt0094469,77054.0,tv,Garfield and Friends,1988-09-17,Ended,"Animation, Comedy, Kids",23.0,CBS,US,7.0,363.0,7.3,383,20.6493,en,,1988,1980,CBS,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,53,2026-02-09T18:40:06.000Z,1425672636,show,Goof Troop,1992,2222,goof-troop,2235.0,tt0103428,78250.0,tv,Goof Troop,1992-09-05,Ended,"Comedy, Kids, Animation",23.0,ABC,US,2.0,78.0,6.675,160,11.3589,en,,1992,1990,ABC,"['Comedy', 'Kids', 'Animation']",False
arquivo-dos-desenhos-da-infancia,33771833,25,2026-02-09T18:31:19.000Z,1425669310,show,He-Man and the Masters of the Universe,1983,926,he-man-and-the-masters-of-the-universe,931.0,tt0126158,73014.0,tv,He-Man and the Masters of the Universe,1983-09-05,Ended,"Action & Adventure, Animation, Sci-Fi & Fantasy, Kids",22.0,Syndication,US,2.0,130.0,7.314,395,16.2522,en,,1983,1980,Syndication,"['Action & Adventure', 'Animation', 'Sci-Fi & Fantasy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,38,2026-02-09T18:35:48.000Z,1425670989,show,Hey Arnold!,1996,536,hey-arnold,537.0,tt0115200,72005.0,tv,Hey Arnold!,1996-10-07,Ended,"Family, Animation, Comedy, Drama",12.0,Nickelodeon,US,5.0,186.0,8.0,959,35.1355,en,,1996,1990,Nickelodeon,"['Family', 'Animation', 'Comedy', 'Drama']",False
arquivo-dos-desenhos-da-infancia,33771833,66,2026-02-09T18:44:53.000Z,1425674562,show,Hi Hi Puffy AmiYumi,2004,254,hi-hi-puffy-amiyumi,255.0,tt0407398,75159.0,tv,Hi Hi Puffy AmiYumi,2004-11-19,Ended,"Animation, Comedy, Kids",7.0,Cartoon Network,US,3.0,117.0,7.294,143,9.7904,en,,2004,2000,Cartoon Network,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,97,2026-02-09T18:54:30.000Z,1425678531,show,Hi-5,1999,1363,hi-5,1371.0,tt0294104,73813.0,tv,Hi-5,1999-04-12,Ended,,25.0,Nine Network,AU,10.0,195.0,6.0,2,1.9672,en,,1999,1990,Nine Network,[],False
arquivo-dos-desenhos-da-infancia,33771833,79,2026-02-09T18:47:24.000Z,1425675781,show,Jakers! The Adventures of Piggley Winks,2003,13546,jakers-the-adventures-of-piggley-winks,13605.0,tt0381772,82131.0,tv,Jakers! The Adventures of Piggley Winks,2003-09-07,Ended,"Animation, Comedy, Kids",,PBS,US,3.0,52.0,6.0,32,5.7074,en,,2003,2000,PBS,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,41,2026-02-09T18:36:39.000Z,1425671185,show,Johnny Bravo,1997,2391,johnny-bravo,2405.0,tt0118360,76201.0,tv,Johnny Bravo,1997-07-07,Ended,"Animation, Comedy, Family",,Cartoon Network,US,4.0,181.0,7.3,619,23.5123,en,,1997,1990,Cartoon Network,"['Animation', 'Comedy', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,64,2026-02-09T18:43:59.000Z,1425674441,show,Kick Buttowski,2010,17494,kick-buttowski,17572.0,tt1600757,159221.0,tv,Kick Buttowski: Suburban Daredevil,2010-02-13,Canceled,"Animation, Action & Adventure, Comedy, Kids",22.0,Disney XD,US,2.0,103.0,8.1,650,13.4598,en,,2010,2010,Disney XD,"['Animation', 'Action & Adventure', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,74,2026-02-09T18:46:32.000Z,1425675531,show,LazyTown,2004,1881,lazytown,1894.0,tt0396991,74928.0,tv,LazyTown,2004-08-16,Ended,"Comedy, Kids, Family",24.0,Nick Jr.,US,4.0,78.0,7.3,119,9.1002,en,,2004,2000,Nick Jr.,"['Comedy', 'Kids', 'Family']",False
arquivo-dos-desenhos-da-infancia-2,33772081,1,2026-02-09T18:56:22.000Z,1425679173,show,Leon,2009,39428,leon,39601.0,tt1623187,202281.0,tv,Leon,,Ended,Animation,,CBBC,,0.0,0.0,5.5,2,0.1412,en,,2009,2000,CBBC,['Animation'],False
arquivo-dos-desenhos-da-infancia,33771833,21,2026-02-09T18:29:26.000Z,1425668378,show,Looney Tunes,1929,61442,looney-tunes,102321.0,tt21241746,72514.0,tv,Looney Tunes Cartoons,2020-05-27,Ended,"Animation, Comedy, Family",,HBO Max,US,6.0,231.0,7.763,278,28.9671,en,,2020,2020,HBO Max,"['Animation', 'Comedy', 'Family']",False
arquivo-dos-desenhos-da-infancia-2,33772081,3,2026-02-09T18:56:47.000Z,1425679348,show,Louie,2006,41218,louie-2006,41421.0,tt2080835,80732.0,tv,Louie,2006-02-13,Ended,"Animation, Kids",7.0,France 5,FR,3.0,117.0,6.6,8,4.5356,fr,,2006,2000,France 5,"['Animation', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,80,2026-02-09T18:47:35.000Z,1425675834,show,Lunar Jim,2016,11907,lunar-jim,11960.0,tt0808080,139761.0,tv,Lunar Jim,2016-01-01,Ended,Animation,22.0,CBC Television,CA,2.0,92.0,7.0,10,1.8196,en,,2016,2010,CBC Television,['Animation'],False
arquivo-dos-desenhos-da-infancia,33771833,96,2026-02-09T18:53:52.000Z,1425678309,show,Miss Spider's Sunny Patch Friends,2003,13230,miss-spider-s-sunny-patch-friends,13287.0,tt0428138,73249.0,tv,Miss Spider's Sunny Patch Friends,2004-09-07,Ended,"Kids, Animation",30.0,Nickelodeon,CA,3.0,83.0,6.5,18,3.8142,en,,2004,2000,Nickelodeon,"['Kids', 'Animation']",False
arquivo-dos-desenhos-da-infancia,33771833,94,2026-02-09T18:51:04.000Z,1425677298,show,Mister Maker,2007,31998,mister-maker,32138.0,tt1806402,81710.0,tv,Mister Maker,2007-09-17,Returning Series,Kids,,CBeebies,GB,4.0,80.0,5.8,8,1.2046,en,,2007,2000,CBeebies,['Kids'],False
arquivo-dos-desenhos-da-infancia,33771833,99,2026-02-09T18:54:50.000Z,1425678599,show,Mucha Lucha,2002,287,mucha-lucha,288.0,tt0353115,106951.0,tv,¡Mucha Lucha!,2002-08-17,Ended,"Kids, Comedy, Animation",22.0,The WB,US,3.0,52.0,8.2,398,10.8756,en,,2002,2000,Kids WB,"['Kids', 'Comedy', 'Animation']",False
arquivo-dos-desenhos-da-infancia,33771833,56,2026-02-09T18:41:26.000Z,1425673146,show,Mundo da Lua,1991,129860,mundo-da-lua,65302.0,tt0300815,276499.0,tv,Mundo da Lua,1991-10-06,Ended,"Comedy, Kids",28.0,TV Cultura,BR,1.0,52.0,6.8,12,2.6489,pt,,1991,1990,TV Cultura,"['Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,75,2026-02-09T18:46:44.000Z,1425675559,show,My Gym Partner's a Monkey,2005,233,my-gym-partner-s-a-monkey,234.0,tt0451461,86681.0,tv,My Gym Partner's a Monkey,2005-12-26,Ended,"Animation, Comedy, Kids",30.0,Cartoon Network,US,4.0,100.0,6.243,103,8.9775,en,,2005,2000,Cartoon Network,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,90,2026-02-09T18:50:18.000Z,1425676933,show,Phineas and Ferb,2007,1865,phineas-and-ferb,1877.0,tt0852863,81848.0,tv,Phineas and Ferb,2007-08-17,Returning Series,"Animation, Comedy, Family, Sci-Fi & Fantasy",,Disney XD,US,5.0,261.0,7.889,978,59.8685,en,,2007,2000,Disney XD,"['Animation', 'Comedy', 'Family', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,82,2026-02-09T18:48:00.000Z,1425676029,show,Pingu,1986,9215,pingu,9262.0,tt0100366,75669.0,tv,Pingu,1986-05-28,Ended,"Animation, Comedy, Kids",5.0,CBeebies,IT,6.0,156.0,6.942,155,8.8024,en,,1986,1980,CBeebies,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,37,2026-02-09T18:35:36.000Z,1425670910,show,Pinky and the Brain,1995,2215,pinky-and-the-brain,2228.0,tt0112123,72880.0,tv,Pinky and the Brain,1995-09-09,Ended,"Animation, Comedy, Family, Sci-Fi & Fantasy, Kids",21.0,The WB,US,4.0,95.0,7.7,735,10.0118,en,,1995,1990,Kids WB,"['Animation', 'Comedy', 'Family', 'Sci-Fi & Fantasy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,17,2026-02-09T18:27:26.000Z,1425667329,show,Pocoyo,2005,2422,pocoyo,2437.0,tt0487849,80084.0,tv,Pocoyo,2005-05-10,In Production,"Animation, Kids, Family",7.0,CITV,GB,5.0,218.0,0.0,0,13.4472,en,,2005,2000,CITV,"['Animation', 'Kids', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,18,2026-02-09T18:27:48.000Z,1425667815,show,Popeye the Sailor,1960,8346,popeye-the-sailor,8392.0,tt0145628,417672.0,tv,Popeye the Sailor,1960-06-10,Ended,"Animation, Kids",5.0,ABC,US,2.0,220.0,7.1,401,21.6972,en,,1960,1960,ABC,"['Animation', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,16,2026-02-09T18:27:14.000Z,1425667288,show,Pucca,2006,6742,pucca,6782.0,tt0795256,81774.0,tv,Pucca,2006-09-18,Ended,"Animation, Sci-Fi & Fantasy, Comedy, Kids",8.0,Toon Disney,CA,2.0,117.0,8.192,593,7.3683,en,,2006,2000,Toon Disney,"['Animation', 'Sci-Fi & Fantasy', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia-2,33772081,5,2026-02-09T18:57:07.000Z,1425679397,show,Regular Show,2010,30997,regular-show,31132.0,tt1710308,188401.0,tv,Regular Show,2010-09-06,Ended,"Animation, Comedy",11.0,Cartoon Network,US,8.0,245.0,8.628,2176,83.0439,en,,2010,2010,Cartoon Network,"['Animation', 'Comedy']",False
arquivo-dos-desenhos-da-infancia,33771833,36,2026-02-09T18:35:25.000Z,1425670869,show,Rugrats,1991,3002,rugrats,3022.0,tt0101188,77038.0,tv,Rugrats,1991-08-11,Ended,"Family, Animation, Kids, Comedy",,Nickelodeon,US,9.0,322.0,7.616,738,57.8549,en,,1991,1990,Nickelodeon,"['Family', 'Animation', 'Kids', 'Comedy']",False
arquivo-dos-desenhos-da-infancia,33771833,89,2026-02-09T18:50:09.000Z,1425676914,show,Rupert,1991,9731,rupert,9780.0,tt0155445,77287.0,tv,Rupert,1991-09-07,Ended,"Animation, Kids",30.0,YTV,CA,5.0,65.0,7.3,27,4.0981,en,,1991,1990,YTV,"['Animation', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,55,2026-02-09T18:40:50.000Z,1425672888,show,Rá-Tim-Bum,1990,196724,ra-tim-bum,101823.0,tt1587718,,tv,Rá-Tim-Bum,1990-09-29,Ended,Kids,30.0,TV Cultura,BR,5.0,192.0,7.6,5,0.7498,pt,,1990,1990,TV Cultura,['Kids'],False
arquivo-dos-desenhos-da-infancia,33771833,76,2026-02-09T18:46:52.000Z,1425675587,show,Samurai Jack,2001,2705,samurai-jack,2723.0,tt0278238,75164.0,tv,Samurai Jack,2001-08-10,Ended,"Sci-Fi & Fantasy, Action & Adventure, Animation",24.0,Cartoon Network,US,5.0,60.0,8.4,861,37.649,en,,2001,2000,Cartoon Network,"['Sci-Fi & Fantasy', 'Action & Adventure', 'Animation']",False
arquivo-dos-desenhos-da-infancia,33771833,62,2026-02-09T18:43:25.000Z,1425674211,show,Sesame Street,1969,501,sesame-street,502.0,tt0063951,78419.0,tv,Sesame Street,1969-11-10,Returning Series,"Kids, Comedy",54.0,PBS,US,56.0,3161.0,7.091,275,93.1475,en,,1969,1960,PBS,"['Kids', 'Comedy']",False
arquivo-dos-desenhos-da-infancia,33771833,24,2026-02-09T18:30:44.000Z,1425669195,show,Seven Little Monsters,2000,20020,seven-little-monsters,20113.0,tt0274284,98731.0,tv,Seven Little Monsters,2000-09-30,Ended,"Kids, Family, Animation, Comedy, Sci-Fi & Fantasy",26.0,,CA,3.0,54.0,7.4,10,3.6523,en,,2000,2000,,"['Kids', 'Family', 'Animation', 'Comedy', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,45,2026-02-09T18:37:35.000Z,1425671378,show,SpongeBob SquarePants,1999,386,spongebob-squarepants,387.0,tt0206512,75886.0,tv,SpongeBob SquarePants,1999-05-01,Returning Series,"Animation, Comedy, Family",11.0,Nickelodeon,US,17.0,634.0,7.7,3149,12.6781,en,,1999,1990,Nickelodeon,"['Animation', 'Comedy', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,4,2026-02-09T18:23:58.000Z,1425666084,show,Static Shock,2000,1478,static-shock,1487.0,tt0247729,79067.0,tv,Static Shock,2000-09-23,Ended,"Action & Adventure, Animation, Sci-Fi & Fantasy, Kids",22.0,The WB,US,4.0,52.0,8.016,220,20.2448,en,,2000,2000,Kids WB,"['Action & Adventure', 'Animation', 'Sci-Fi & Fantasy', 'Kids']",False
arquivo-dos-desenhos-da-infancia-2,33772081,6,2026-02-09T18:57:16.000Z,1425679467,show,Steven Universe,2013,60686,steven-universe,61175.0,tt3061046,270701.0,tv,Steven Universe,2013-11-04,Ended,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy, Family",11.0,Cartoon Network,US,5.0,154.0,8.41,1283,35.5417,en,,2013,2010,Cartoon Network,"['Animation', 'Action & Adventure', 'Comedy', 'Sci-Fi & Fantasy', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,50,2026-02-09T18:39:28.000Z,1425672427,show,Taz-Mania,1991,10077,taz-mania,10126.0,tt0103562,76989.0,tv,Taz-Mania,1991-09-07,Ended,"Family, Animation, Comedy",30.0,FOX,US,4.0,123.0,7.022,251,14.2979,en,,1991,1990,FOX,"['Family', 'Animation', 'Comedy']",False
arquivo-dos-desenhos-da-infancia,33771833,63,2026-02-09T18:43:37.000Z,1425674258,show,Teen Titans,2003,603,teen-titans,604.0,tt0343314,71503.0,tv,Teen Titans,2003-07-19,Ended,"Animation, Action & Adventure, Sci-Fi & Fantasy",23.0,Cartoon Network,US,5.0,65.0,8.371,1293,24.5552,en,,2003,2000,Cartoon Network,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",False
